Braid word,Braid string,Braid index,Euler characteristic lower bound,Euler characteristic upper bound,Rasmussen s-invariant,Arf invariant,Signature
"[-2, -3, -2, -3, 2, 2, -3, -1, -2, 1, 1, 2, 1, -2, 3, -2, -2, 3, -4, -3, 2, -3, -3, -2, 3, -1]",bcbcBBcabAABAbCbccbCa,5,-1,-1,2,NC,NC
"[1, 1, 1, 2, -3, -3, -2, -1, -1, -3, -2, -2, 3, -1, 2, 3, -2, 1, -3, 2, 3, -1, -3, -2, 3, -1, -2, -1, -2, -3, 2, -1, -2, 3, -2, 1, 1]",AAABccbaacbbCaBCbAcBCacbCababcBabCbAA,4,-3,-1,4,NC,NC
"[-4, -2, 1, 1, 3, -1, 2, 1, -3, -1, 4, 3]",dbAACaBAcaDC,5,1,1,NC,1,1
"[5, 4, -5, -2, -1, 2, 3, 3, -2, -3, 2, -5, 3, -4, -5, 4, -3, 5, -3, -3, -2, 5, -4, -5, -3, -2, 3]",DCdBBabAdBcdCbDbbaDcdbaB,6,1,1,NC,1,1
"[4, 1, 1, -5, 4, 4, -5, -4, 5, -3, -1, -1, -3, -1, 2, -3, -3, -1, 3, 3, -2, 1, -4, -3, 4, 4, -1, 3, -5, -1, -1, -4, -3]",DAAeDDedEcaacaBccaCCbAdcDDaCeaadc,6,-1,-1,2,NC,NC
"[-1, 2, -1, 2, -1, 3, 2, 1, -2, -3, 1, -2, -2]",aBaBaCBAbcAbb,4,1,1,NC,1,1
"[2, 3, 2, 1, -3, -3, 2]",ABAbbA,4,1,1,NC,1,1
"[1, -2, 1, 1]",AAA,3,-1,-1,-2,NC,NC
"[-3, -3, -3, 4, 1, -2, -2, -3, 2, 2, 1, 1, 1, 3, 3, 3, -4, -2, 3, 4, -3, -1, 2, 4]",cccDAbbcBBAAACCCdbCDcaBD,5,-3,-1,-2,NC,NC
"[2, 2, 3, -2, -2, 4, -3, -1, 2, 1, 3, -4, 1, 2, 2, 4]",BBCbbDcaBACdABBD,5,-1,-1,-2,NC,NC
"[-2, 1]",,3,1,1,NC,1,1
